Ticker,Name,wiki_code
0BOE,BOEING CO/THE,unknown
AAL,ANGLO AMERICAN PLC,Q541451
ABDN,ABRDN PLC,Q54621936
ABF,ASSOCIATED BRITISH FOODS PLC,Q117059
ACRM,ACUITY RM GROUP PLC,unknown
ACSO,ACCESSO TECHNOLOGY GROUP PLC,unknown
ADM,ADMIRAL GROUP PLC,Q267417
AEO,AEOREMA COMMUNICATIONS GROUP,unknown
AEP,ANGLO-EASTERN PLANTATIONS,unknown
AET,AFENTRA PLC,unknown
AFC,AFC ENERGY PLC,unknown
AFN,ADVFN PLC,unknown
AGL,ANGLE PLC,unknown
AGTA,AGRITERRA LTD,unknown
AGY,ALLERGY THERAPEUTICS PLC,unknown
AHT,ASHTEAD GROUP PLC,Q4805956
AIBG,AIB GROUP PLC,unknown
AIEA,AIREA PLC,unknown
ALT,ALTITUDE GROUP PLC,unknown
ALTN,ALTYNGOLD PLC,unknown
ALU,ALUMASC GROUP PLC,Q20312439
AMS,ADVANCED MEDICAL SOLUTIONS,Q121623565
ANCR,ANIMALCARE GROUP PLC,unknown
ANP,ANPARIO PLC,Q19652805
ANTO,ANTOFAGASTA PLC,Q585150
APH,ALLIANCE PHARMA PLC,Q41568664
APTD,APTITUDE SOFTWARE GROUP PLC,Q115167612
ARBB,ARBUTHNOT BANKING GROUP PLC,unknown
ARC,ARCONTECH GROUP PLC,unknown
ARGO,ARGO GROUP LTD,unknown
ASC,ASOS PLC,unknown
ASHM,ASHMORE GROUP PLC,unknown
AST,ASCENT RESOURCES PLC,unknown
ASTO,ASSETCO PLC,unknown
ASY,ANDREWS SYKES GROUP PLC,unknown
ATYM,ATALAYA MINING PLC,unknown
AVAP,AVATION PLC,unknown
AVCT,AVACTA GROUP PLC,unknown
AVG,AVINGTRANS PLC,unknown
AVON,AVON TECHNOLOGIES PLC,unknown
AXS,ACCSYS TECHNOLOGIES PLC,unknown
AZN,ASTRAZENECA PLC,Q731938
BAB,BABCOCK INTL GROUP PLC,unknown
BAG,A.G. BARR PLC,Q4647179
BAR,BRAND ARCHITEKTS GROUP PLC,unknown
BARC,BARCLAYS PLC,Q245343
BATS,BRITISH AMERICAN TOBACCO PLC,Q856411
BBY,BALFOUR BEATTY PLC,Q804920
BDEV,BARRATT DEVELOPMENTS PLC,Q591090
BEG,BEGBIES TRAYNOR GROUP PLC,unknown
BEM,BEOWULF MINING PLC,unknown
BEZ,BEAZLEY PLC,Q4878289
BGEO,BANK OF GEORGIA GROUP PLC,unknown
BGO,BANGO PLC,unknown
