S.No.,S.No..1,Company Name ,Local Code,Market,Sector,wiki_code
,558,"Kyokuyo Co.,Ltd.",1301,Prime Market,"Fishery, Agriculture and Forestry",unknown
,559,Nissui Corporation,1332,Prime Market,"Fishery, Agriculture and Forestry",Q7039672
,562,Sakata Seed Corporation,1377,Prime Market,"Fishery, Agriculture and Forestry",unknown
,563,Hokuto Corporation,1379,Prime Market,"Fishery, Agriculture and Forestry",unknown
,564,"Sho-Bond Holdings Co.,Ltd.",1414,Prime Market,Construction,unknown
,565,Mirait One Corporation,1417,Prime Market,Construction,unknown
,569,"Nittetsu Mining Co.,Ltd.",1515,Prime Market,Mining,unknown
,570,"Mitsui Matsushima Holdings Co.,Ltd.",1518,Prime Market,Mining,unknown
,571,Inpex Corporation,1605,Prime Market,Mining,unknown
,572,"Japan Petroleum Exploration Co.,Ltd.",1662,Prime Market,Mining,unknown
,574,Hazama Ando Corporation,1719,Prime Market,Construction,Q4410214
,575,"Tokyu Construction Co., Ltd.",1720,Prime Market,Construction,unknown
,576,Comsys Holdings Corporation,1721,Prime Market,Construction,unknown
,577,Br.Holdings Corporation,1726,Prime Market,Construction,unknown
,578,"Takamatsu Construction Group Co.,Ltd.",1762,Prime Market,Construction,unknown
,579,Token Corporation,1766,Prime Market,Construction,Q11526904
,580,Yamaura Corporation,1780,Prime Market,Construction,unknown
,582,Taisei Corporation,1801,Prime Market,Construction,Q3178370
,583,Obayashi Corporation,1802,Prime Market,Construction,Q384730
,584,Shimizu Corporation,1803,Prime Market,Construction,Q7496874
,585,Tobishima Corporation,1805,Prime Market,Construction,Q11665764
,586,Haseko Corporation,1808,Prime Market,Construction,Q11654016
,587,Kajima Corporation,1812,Prime Market,Construction,Q1081154
,588,Fudo Tetra Corporation,1813,Prime Market,Construction,unknown
,589,"Daisue Construction Co.,Ltd.",1814,Prime Market,Construction,unknown
,590,Tekken Corporation,1815,Prime Market,Construction,Q11649550
,591,"Nishimatsu Construction Co.,Ltd.",1820,Prime Market,Construction,unknown
,592,"Sumitomo Mitsui Construction Co., Ltd.",1821,Prime Market,Construction,unknown
,593,Okumura Corporation,1833,Prime Market,Construction,Q11445911
